CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1658	2946	25	0.9404	365.278
3869	4645	25	0.9526	58.042
3783	4373	25	0.9487	17.027
477	4373	25	0.9461	58.042
2946	4708	25	0.9515	-249.194
3869	3889	25	0.9456	-232.167
3869	4373	25	0.9329	-41.015
477	4220	25	0.9455	116.083
2946	4220	25	0.9575	-58.043
2946	3869	25	0.9467	-75.069
477	2946	25	0.9389	174.126
4220	4708	25	0.9637	-191.151
3869	4708	25	0.9593	-174.125
3889	4362	25	0.9682	116.083
477	4362	25	0.9452	-17.026
3869	4220	25	0.9556	17.026
3869	4362	25	0.9644	-116.084
4645	4708	25	0.9334	-232.167
4373	4645	25	0.9157	99.057
2946	3783	25	0.9583	-133.111
477	4645	25	0.9162	157.099
4220	4362	25	0.9665	-133.110
3783	4220	25	0.9684	75.068
1658	4708	25	0.9559	116.084
477	3869	25	0.93	99.057
4362	4708	25	0.977	-58.041
1658	3869	25	0.9348	290.209
1658	4220	25	0.9496	307.235
4362	4373	25	0.9502	75.068
4220	4645	25	0.9246	41.016
3889	4645	25	0.9129	290.209
2946	3889	25	0.9474	-307.236
2946	4362	25	0.9564	-191.152
4373	4708	25	0.9506	-133.110
3783	3889	25	0.9608	-174.125
3889	4373	25	0.9483	191.152
3783	4708	25	0.9719	-116.083
2946	4373	25	0.946	-116.084
1658	3783	25	0.9498	232.167
1307	4645	25	0.9136	-58.042
4220	4373	25	0.9542	-58.041
477	3889	25	0.9384	-133.110
4362	4645	25	0.9404	174.125
3783	3869	25	0.9725	58.042
2946	4645	25	0.9527	-17.027
1658	4362	25	0.9576	174.126
3889	4708	25	0.9719	58.042
1658	4373	25	0.9461	249.194
3889	4220	25	0.9553	249.193
3783	4645	25	0.9531	116.084
1250	1569	27	0.8317	-28.031
2973	3645	27	0.8888	2.016
1250	2973	27	0.8151	14.016
1528	3253	28	0.7101	-42.011
3253	4580	28	0.7111	137.070
