CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
955	2200	25	0.9153	152.011
1016	1310	25	0.9095	152.011
199	1636	25	0.9011	304.021
465	1310	25	0.9172	-265.010
465	2332	25	0.9035	9.000
331	1016	25	0.9705	187.049
20	463	25	0.9341	0.000
4092	4811	25	0.9133	0.000
1442	1745	25	0.9176	28.031
2426	2874	25	0.9111	-1.943
3460	4250	25	0.9039	-38.053
2078	4209	25	0.907	-152.011
2874	4250	25	0.9141	-38.053
2200	2332	25	0.9084	-30.011
463	1636	25	0.9011	-469.086
1389	2332	25	0.9054	-31.990
199	1016	25	0.9397	339.059
1389	1637	25	0.9144	0.000
2200	4811	25	0.9429	0.000
955	1310	25	0.9055	-152.010
2078	2650	25	0.9372	-152.011
2874	3618	25	0.9403	29.974
1016	1636	25	0.927	-35.038
463	1745	25	0.9122	-8.026
2200	4092	25	0.9033	0.000
463	1310	25	0.9343	-282.037
4004	4816	25	0.9183	0.000
463	1016	25	0.917	-434.048
20	1310	25	0.9017	-282.037
2650	4004	25	0.9052	152.011
1310	1636	25	0.9038	-187.049
125	1442	25	0.9306	0.000
463	2650	25	0.905	-130.027
463	2332	25	0.9258	-8.026
1389	1442	25	0.9188	-60.021
463	465	25	0.9599	-17.027
1474	2650	25	0.9117	-152.012
2078	4092	25	0.9128	0.000
3460	3618	25	0.9371	29.974
525	1544	26	0.7541	15.992
248	1218	26	0.7991	18.011
1859	2494	26	0.7754	14.017
1549	4223	26	0.9183	30.010
182	230	26	0.9201	30.011
1544	1844	26	0.9126	152.013
182	2444	26	0.864	14.016
2185	2228	26	0.8587	-45.058
928	936	26	0.754	31.990
513	2825	26	0.8112	74.963
513	678	26	0.7595	0.000
831	2494	26	0.7432	31.989
2059	4675	26	0.9247	14.015
1285	1463	26	0.9454	14.016
1596	2059	26	0.8791	14.015
2133	4372	26	0.745	-18.010
427	1218	26	0.8071	18.010
973	1428	26	0.8047	14.016
928	1896	26	0.7693	0.001
106	2202	26	0.9334	30.011
230	1844	26	0.9003	-14.017
852	2202	26	0.8758	31.990
1544	2825	26	0.8377	106.956
1519	4223	26	0.8887	-0.000
1159	2059	26	0.8503	-15.994
2825	2932	26	0.7589	-106.953
1844	2059	26	0.933	-15.994
2343	2392	26	0.8789	31.990
525	2059	26	0.8102	152.011
1289	1519	26	0.8139	46.006
37	2230	26	0.8356	-18.011
1159	1844	26	0.8533	-0.000
1519	2185	26	0.865	-0.000
230	2444	26	0.8217	-15.995
182	4675	26	0.9521	14.015
2228	4223	26	0.9536	45.058
95	1896	26	0.7504	0.001
1285	2279	26	0.8891	-18.010
145	303	26	0.7588	-14.015
950	2343	26	0.7718	0.000
1842	2444	26	0.8572	-15.995
639	2230	26	0.8821	15.994
1699	2343	26	0.7329	152.010
2825	3178	26	0.9063	45.058
106	182	26	0.9081	-31.990
936	2494	26	0.8684	15.994
2202	4873	26	0.8228	-13.980
95	2444	26	0.7744	152.011
639	1218	26	0.9034	18.011
852	1844	26	0.8834	-14.016
